City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket,year,month,day,weekday,is_weekend,AQI_7day_MA,PM25_PM10_ratio,City_Health_Index,AQI_7d,AQI_30d,AQI_z
Bangalore,2015-01-01,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,6.04,12.74,9.59,489.7,Good,2015,1,1,3,False,489.7,1.4579439252336448,362.46,489.7,489.7,1.6625473696341626
Bangalore,2015-01-02,22.5,317.5,163.0,62.4,130.9,46.7,0.0,59.7,49.8,16.31,7.77,5.83,243.3,Moderate,2015,1,2,4,False,366.5,0.07086614173228346,154.98,366.5,366.5,-0.04481405676536484
Bangalore,2015-01-03,269.3,69.9,195.5,107.3,232.0,36.4,7.44,12.8,119.4,16.97,19.69,8.6,148.5,Severe,2015,1,3,5,True,293.8333333333333,3.852646638054363,196.82,293.8333333333333,293.8333333333333,-0.7017047354288196
Bangalore,2015-01-04,56.1,295.7,121.0,146.1,53.7,39.8,6.47,59.1,109.1,9.4,6.11,9.56,423.3,Satisfactory,2015,1,4,6,True,326.2,0.1897193101115996,276.42,326.2,326.2,1.2024467255070175
Bangalore,2015-01-05,263.8,321.1,21.4,40.5,48.0,0.6,7.3,56.2,14.2,2.78,13.53,9.62,119.5,Satisfactory,2015,1,5,0,False,284.86,0.8215509187169105,177.22000000000003,284.86,284.86,-0.9026523059060367
Bangalore,2015-01-06,432.2,500.7,162.0,80.8,6.5,6.5,0.34,90.4,113.1,14.17,21.22,1.63,120.7,Poor,2015,1,6,1,False,257.5,0.8631915318554024,245.3,257.5,257.5,-0.8943372340242209
Bangalore,2015-01-07,122.9,583.2,128.1,146.3,27.2,27.8,2.65,71.2,78.8,10.85,19.27,8.07,421.8,Poor,2015,1,7,2,False,280.9714285714286,0.21073388203017832,302.24,280.9714285714286,280.9714285714286,1.1920528856547477
Bangalore,2015-01-08,409.8,237.9,71.8,41.6,101.0,31.3,4.41,6.1,66.2,18.02,20.92,4.45,487.3,Poor,2015,1,8,3,False,280.62857142857143,1.7225725094577553,456.3,280.62857142857143,306.7625,1.645917225870531
Bangalore,2015-01-09,77.8,270.7,110.0,66.6,194.6,36.5,2.06,73.2,159.6,8.42,12.0,5.81,8.0,Good,2015,1,9,4,False,247.0142857142857,0.28740302918359806,35.92,247.0142857142857,273.56666666666666,-1.6752610682580957
Bangalore,2015-01-10,449.3,460.8,0.7,2.8,51.5,36.7,8.78,26.9,76.1,12.05,26.19,9.05,275.2,Severe,2015,1,10,5,True,265.1142857142857,0.9750434027777778,344.84000000000003,265.1142857142857,273.73,0.17622827075957387
Bangalore,2015-01-11,470.4,237.2,9.3,49.5,137.8,43.0,8.68,92.9,158.0,7.26,23.36,7.0,418.5,Severe,2015,1,11,6,True,264.42857142857144,1.9831365935919056,439.26,264.42857142857144,286.89090909090913,1.1691864379797539
Bangalore,2015-01-12,138.2,431.8,119.0,46.9,180.4,22.2,6.57,70.2,128.9,2.81,12.72,4.43,69.7,Very Poor,2015,1,12,0,False,257.31428571428575,0.3200555812876331,97.1,257.31428571428575,268.7916666666667,-1.2477277890013958
Bangalore,2015-01-13,146.7,59.5,48.2,32.7,222.4,14.6,1.0,50.5,101.1,2.43,14.68,9.41,100.7,Satisfactory,2015,1,13,1,False,254.45714285714286,2.4655462184873946,119.1,254.45714285714286,255.86153846153846,-1.0329217653878189
